type-nn fair hold-out board
===========================

Split: xorshift32 Fisher-Yates, seed 34972, 70/30. Same cut for every impl.
Board models: the three scale probes (energy, jac, mix), the Or/And
spawn they drive, and the depth probes (early / hold / born).
c-mlp is the only non-type-nn row (Linear-ReLU-Linear baseline).
or+/or- = dummy Or (×1) promoted / collapsed.
and+/and- = dummy And (product ≡ 1) promoted / collapsed.
L+/L- = identity layer insert / drop.
us/infer = mean microseconds per forward over >=200 ms wall (never 0).
hold_acc is n/a on diabetes (regression) only. XOR prints threshold acc
on all 4 points (no 70/30 cut exists).
Sorted by (hold_mse, params, train_s, mse, hold_acc asc, acc asc).

task         impl                         hold_mse  params   train_s      mse  hold_acc     acc   nbytes    us/infer  or+ or- and+ and-  L+  L-
iris         type-nn-depth-born            0.02875     488   0.2125  0.00004  0.956  1.000   34984   0.000001   76  89   24   18   1   0
iris         type-nn-scale-jac+slim-prune  0.04261      26   0.0352  0.04012  0.956  0.962    3248   0.000001    0   3    0    0   0   0
iris         c-mlp                         0.04324      67   0.0214  0.01518  0.956  0.990     536   0.000001    0   0    0    0   0   0
iris         type-nn-scale-mix+slim-cap+s  0.06617      20   0.0322  0.07099  0.889  0.914    2768   0.000001    0   3    0    0   0   0

wine         type-nn-scale-mix+depth-hold  0.01776     332   0.1541  0.00007  0.963  1.000   23320   0.000001   17  12    3    0   1   0
wine         type-nn-scale-mix+depth-hold  0.01828     588   0.2633  0.00006  0.963  1.000   39048   0.000001   17   7    0    0   1   0
wine         type-nn-scale-jac+depth-earl  0.01856     448   0.2326  0.00045  0.963  1.000   30728   0.000001    0   0    0    0   1   0
wine         type-nn-depth-hold            0.01878     714   0.3014  0.00004  0.963  1.000   47208   0.000001   11  10    5    1   1   0
wine         type-nn-depth-early           0.01904    1022   0.5324  0.00003  0.963  1.000   66664   0.000001    8   9    4    1   1   0
wine         type-nn-scale-mix             0.02082     224   0.0980  0.00010  0.981  1.000   14816   0.000001   10   0    0    0   0   0
wine         type-nn-scale-mix+slim-budge  0.02082     224   0.0983  0.00010  0.981  1.000   14816   0.000001   10   0    0    0   0   0
wine         type-nn-scale-energy          0.02082     224   0.0992  0.00010  0.981  1.000   14816   0.000001   10   0    0    0   0   0
wine         c-mlp                         0.02512     275   0.0345  0.00410  1.000  1.000    2200   0.000001    0   0    0    0   0   0
wine         type-nn-scale-jac+slim-cap+s  0.03028      84   0.0558  0.00740  0.963  1.000    6496   0.000001    0   0    0    0   0   0
wine         type-nn-scale-jac             0.03028      84   0.0568  0.00740  0.963  1.000    6496   0.000001    0   0    0    0   0   0
wine         type-nn-scale-mix+slim-cap    0.03028      84   0.0568  0.00740  0.963  1.000    6496   0.000001    0   0    0    0   0   0
wine         type-nn-scale-jac+slim-budge  0.03028      84   0.0573  0.00740  0.963  1.000    6496   0.000001    0   0    0    0   0   0
wine         type-nn-scale-jac+slim-cap    0.03028      84   0.0600  0.00740  0.963  1.000    6496   0.000001    0   0    0    0   0   0
wine         type-nn-depth-born            0.03509    2489   1.6793  0.00002  0.926  1.000  156928   0.000001   20  23    9    5   1   0
wine         type-nn-scale-mix+slim-k      0.04350      56   0.0567  0.02555  0.926  0.992    5696   0.000001   24   8    0    0   0   0
wine         type-nn-scale-mix+slim-prune  0.04943      52   0.0525  0.01406  0.870  0.992    5376   0.000001   33  19    0    0   0   0
wine         type-nn-scale-jac+slim-k      0.07616      23   0.0399  0.05536  0.981  0.984    3080   0.000001    0   0    0    0   0   0
wine         type-nn-scale-jac+slim-prune  0.07991      24   0.0413  0.03972  0.870  0.944    3136   0.000001    0   0    0    0   0   0
wine         type-nn-scale-mix+slim-cap+s  0.09821      18   0.0370  0.07438  0.852  0.935    2800   0.000001    0   0    0    0   0   0
wine         type-nn-scale-sched-wide      0.10913     140   0.1302  0.00430  0.926  1.000   15104   0.000001   17  13    3    0   0   0
wine         type-nn-winner                0.14098     144   0.1306  0.00441  0.907  1.000   15104   0.000001   17  13    3    0   0   0
wine         type-nn-scale-sched           0.14098     144   0.1368  0.00441  0.907  1.000   15104   0.000001   17  13    3    0   0   0
wine         type-nn-scale-sched-tight     0.17575     127   0.1222  0.00592  0.907  1.000   13440   0.000001   12  10    3    0   0   0

wdbc         type-nn-scale-jac+depth-earl  0.03812    1922   3.5849  0.00525  0.959  0.995  118808   0.000001    0   0    0    0   1   0
wdbc         type-nn-scale-mix+depth-hold  0.03828    2015   3.6063  0.00130  0.959  1.000  124160   0.000001    9   6    0    0   1   0
wdbc         type-nn-depth-early           0.03970    3937   7.0063  0.00025  0.953  1.000  237840   0.000001    6   8    3    2   1   0
wdbc         type-nn-depth-hold            0.04004    2201   3.5926  0.00048  0.953  1.000  135152   0.000001    8   7    3    1   1   0
wdbc         type-nn-depth-born            0.04084    5188   9.4790  0.00015  0.947  1.000  310560   0.000001    4   5    2    1   1   0
wdbc         type-nn-scale-mix+depth-hold  0.04093    1010   1.7346  0.00216  0.936  0.997   63560   0.000001   14  11    0    0   1   0
